term,base,n_rows,volumes,pages,n_senses_for_base,terms_sharing_base,glosses,section,ref_source,qa_flags,risk
konna,konna,1,A,130,0,,<kō shita>,K,v2,,
kono,kono,1,I,,0,,,K,v1,,
kono ue nai,kono ue nai,1,A,226,0,,,K,v1,,
kono yōna,kono yōna,1,I,,0,,<kō shita>,K,v1,,
kō shita,kō shita,1,I,,0,,,K,v1,,
koshita koto wa nai,koshita koto wa nai,1,,,0,,,K,,missing_ref,missing_only
>> ni koshita koto wa nai,>> ni koshita koto wa nai,1,A,398,0,,,K,v3,unbalanced,garble
koso,koso,1,I,,0,,,K,v3,,
koto,koto,5,B|I,,1,,""" thing "" ;; <Imperative> ;; <to iu koto wa> ;; [ nominalizer ]",K,v1|v3,,
koto de,koto de,1,,,0,,,K,,missing_ref,missing_only
koto ga aru ',koto ga aru,1,B,,2,koto ga aru '|koto ga aru²,""" there was a time when~""",K,v1,,collision
koto ga aru²,koto ga aru,1,B,,2,koto ga aru '|koto ga aru²,""" there are times when~""",K,v1,,collision
koto ga dekiru,koto ga dekiru,3,A|B|I,553,0,,<uru/eru> ;; <wake ni wa ikanai>,K,v1|v2,,
koto ka,koto ka,1,A,230,0,,,K,v1,,
koto kara,koto kara,2,A,233|645,0,,<tokoro kara>,K,v1,,
koto ni,koto ni,2,A,185|235,0,,<kana>,K,v1,,
koto ni kimeru,koto ni kimeru,1,B,,0,,<koto ni suru>,K,v1,,
"koto ni naru B ,","koto ni naru B ,",1,I,,0,,,K,v1,,
koto ni natte iru,koto ni natte iru,1,B,,0,,<koto ni naru>,K,v1,,
koto ni shite iru,koto ni shite iru,1,B,,0,,<koto ni suru>,K,v1,,
koto ni suru,koto ni suru,1,B,,0,,,K,v1,,
koto ni yori/yotte,koto ni yori/yotte,1,I,,0,,<koto de>,K,v3,,
koto ni yoru,koto ni yoru,1,I,,0,,,K,v1,,
koto wa,koto wa,3,B|I,,1,,""" indeed - but "" ;; <-nai koto mo/wa nai> ;; <wa>",K,v1|v3,,
-koto wa ga,-koto wa ga,1,,,0,,<tashikani~ga>,K,,missing_ref,missing_only
koto wa nai,koto wa nai,1,I,,0,,,K,v3,,
ku,ku,1,A,148,0,,,K,v2,,
kudasai,kudasai,2,B|I,,0,,<o~kudasai>,K,v1,,
kudasaru,kudasaru,3,B,,0,,<kudasai> ;; <kureru '> ;; <kureru>,K,v1,,
kun,kun,1,B,,0,,,K,v1,,
"kurai B ,","kurai B ,",1,I,,0,,,K,v1,,
kureru¹,kureru,1,B,,2,kureru|kureru¹,""" s.o. gives s.t. to me """,K,v1,,collision
kureru,kureru,2,B|I,,2,kureru|kureru¹,""" s.o. gives me a favor by doing s.t . "" ;; <yaru>",K,v1,,collision
kuru¹,kuru,1,B,,2,kuru²|kuru¹,""" come """,K,v1,,collision
kuru²,kuru,1,B,,2,kuru²|kuru¹,""" begin to ; come to """,K,v1,,collision
kuse ni,kuse ni,1,I,,0,,,K,v3,,
kute,kute,1,I,,0,,<-ku>,K,v1,,
kuwaete,kuwaete,2,A,209|240,0,,<katsu>,K,v1,,
machigai naku,machigai naku,1,A,750,0,,<zu ni wa okanai>,M,v1,,
mada,mada,2,A|B,344,0,,<nao>,M,v1,,
made,made,2,B|I,,0,,<sae>,M,v1,,
made de,made de,1,B,,0,,<made ni>,M,v1,,
made mo nai,made mo nai,1,I,,0,,,M,v1,,
made ni,made ni,1,B,,0,,,M,v1,,
made (no koto) da,made (no koto) da,1,A,243,0,,,M,v1,,
mae,mae,1,I,,0,,<-bun>,M,v1,,
mae kara,mae kara,1,I,,0,,<-rai>,M,v3,,
mae ni,mae ni,2,B,,0,,<ni atatte/atari>,M,v1|v3,,
mai,mai,3,B|I,,0,,<de arō>,M,v1,missing_ref,missing_only
mama,mama,3,A|B|I,219,0,,<(k) kiri> ;; <-ppanashi>,M,v1,,
mama (de),mama (de),1,A,580,0,,<ta nari (de)>,M,v1,,
mamire,mamire,1,I,,0,,<-darake>,M,v1,,
marude,marude,3,A,21|526|534,0,,<atakamo> ;; <oyoso> ;; <samo>,M,v1,,
masaka,masaka,2,B,,0,,<yahari>,M,v1|v3,,
mashida,mashida,1,,,0,,,M,,missing_ref,missing_only
mashite (ya),mashite (ya),1,A,245,0,,,M,v1,,
mashō,mashō,1,B,,0,,,M,v1,,
masumasu,masumasu,1,A,146,0,,<ippo (da)>,M,v1,,
mata,mata,2,A,209|248,0,,<katsu>,M,v1,,
mata wa,mata wa,4,A|I,16|285|307,0,,<aruiwa> ;; <moshikuwa> ;; <naishi (wa)>,M,v1,,
mattaku,mattaku,1,A,526,0,,<oyoso>,M,v1,,
mattaku nai,mattaku nai,5,A,159|252|328|334|658,0,,<issai - nai> ;; <metta ni~nai> ;; <nani- nai> ;; <nanra- nai> ;; <totemo - nai>,M,v1,,
me,me,1,I,,0,,,M,v3,,
megutte/meguru,megutte/meguru,1,,,0,,,M,,missing_ref,missing_only
meimei,meimei,1,I,,0,,<sorezore>,M,v1,,
men,men,2,I,,0,,<ten (de)>,M,v1|v3,,
metta ni,metta ni,1,B,,0,,<amari>,M,v1,,
metta ni- na,metta ni- na,1,A,252,0,,,M,v1,,
mi,mi,1,B,,0,,<-sa>,M,v1,,
mieru,mieru,1,B,,0,,,M,v1,,
minna wa- nai,minna wa- nai,1,I,,0,,<kanarazushimo>,M,v1,,
mirareru,mirareru,1,B,,0,,<mieru>,M,v1,,
miru,miru,1,B,,0,,,M,v1,,
miru kara ni,miru kara ni,1,A,254,0,,,M,v1,,
miseru,miseru,1,I,,0,,,M,v1,,
mitaida,mitaida,2,A|B,103,0,,<gotoshi> ;; <yōda>,M,v1,,
mo,mo,6,A|B|I,423|63,2,mo|mo²,""" also "" ;; <datte '> ;; <ni shita tokoro de> ;; <sae>",M,v1,missing_ref,collision;missing_only
mo²,mo,1,B,,2,mo|mo²,""" even """,M,v3,,collision
mō,mō,1,A,540,0,,<sara ni>,M,v1,,
mo~ba,mo~ba,1,I,,0,,,M,v1,,
"mo mo B ,","mo mo B ,",1,I,,0,,,M,v1,,
~mo mo,~mo mo,1,A,628,0,,<~to ii- to ii>,M,v1,,
mon,mon,1,B,,0,,<mono (da)>,M,v1,,
mono,mono,1,B,,0,,<koto '>,M,v1,,
"mono (da) B ,","mono (da) B ,",1,I,,0,,,M,v1,,
mono da,mono da,1,I,,0,,<bekida>,M,v1,,
mono de wa nai,mono de wa nai,1,A,263,0,,,M,v1,,
mono ka¹,mono ka,1,A,266,2,mono ka²|mono ka¹,""" definitely not """,M,v1,,collision
mono ka²,mono ka,1,A,268,2,mono ka²|mono ka¹,""" wonder if """,M,v1,,collision
mono nara,mono nara,1,A,272,0,,,M,v1,,
mono no,mono no,1,A,274,0,,,M,v1,,
mono o,mono o,1,A,279,0,,,M,v1,,
"morau receive receive a favor of doing s t "" B morau","morau receive receive a favor of doing s t "" B morau",1,,,0,,""" "" "" .. ......... B morau² "" <yaru>",M,,merged_suspect;missing_ref;unbalanced,garble
mo saru koto nagara,mo saru koto nagara,1,A,283,0,,,M,v1,,
moshi (mo),moshi (mo),1,A,201,0,,<kari ni>,M,v1,,
moshikuwa,moshikuwa,3,A,16|285|307,0,,<aruiwa> ;; <naishi (wa)>,M,v1,,
mo sugu,mo sugu,1,,,0,,<sugu>,M,,missing_ref,missing_only
mō sukoshi/chotto de suru tokoro,mō sukoshi/chotto de suru tokoro,1,,,0,,,M,,missing_ref,missing_only
(datta),(datta),1,I,,0,,<-sō ni naru>,M,v1,,
motomoto no,motomoto no,1,A,550,0,,<somosomo (no)>,M,v1,,
motte iru,motte iru,1,B,,0,,<aru '>,M,v1,,
motto,motto,3,A|I,344|540,0,,<nao> ;; <sara ni> ;; <yori>,M,v1,,
mottomo,mottomo,3,A,288|499|570,0,,<o oite hoka ni (wa) - nai> ;; <tada>,M,v1,,
mo ba mo,mo ba mo,1,A,258,0,,[ V ] [ V ],M,v1,,
mo shi~mo,mo shi~mo,1,A,258,0,,[ V ] [ V ] <~mo [ V ] ba 2~mo [ V ]>,M,v1,,
muke,muke,1,A,291,0,,,M,v1,,
mukete/muketa ni mukete/muketa,mukete/muketa ni mukete/muketa,1,,,0,,,M,,missing_ref,missing_only
muki,muki,1,A,291,0,,<-muke>,M,v1,,
mushiro,mushiro,3,A|I,295|78,0,,<dochira ka to iu to> ;; <kaette>,M,v1,,
na,na,2,A|B,230,0,,<koto ka>,N,v1,,
nā,nā,1,A,230,0,,,N,v2,,
nado,nado,2,A|B,339,0,,<nante '>,N,v1,,
nado no,nado no,1,A,629,0,,<to itta>,N,v1,,
nado to,nado to,1,I,,0,,,N,v1,,
nado to iu mono de wa nai,nado to iu mono de wa nai,1,A,465,0,,<no nan no tte>,N,v1,,
nagara,nagara,2,B,,0,,<tsutsu>,N,v1|v3,,
nagara (mo),nagara (mo),1,I,,0,,,N,v3,,
nai,nai,1,I,,0,,<-nu>,N,v3,,
nai de,nai de,5,A|B|I,362|753,0,,<(no) kawari ni> ;; <kudasai> ;; <nashi ni> ;; <zu shite>,N,v1,,
nai de kudasai,nai de kudasai,1,A,29,0,,<bekarazu/bekarazaru>,N,v1,,
nai de mo,nai de mo,1,A,755,0,,<zu tomo>,N,v1,,
nai de mo nai,nai de mo nai,1,A,300,0,,,N,v1,,
nai koto mo nai,nai koto mo nai,1,A,300,0,,<nai de mo nai>,N,v1,,
nai koto mo/wa nai,nai koto mo/wa nai,1,I,,0,,,N,v1,,
nai koto ni wa,nai koto ni wa,1,A,303,0,,,N,v1,,
nai made mo,nai made mo,1,A,305,0,,,N,v1,,
naishi (wa),naishi (wa),1,A,307,0,,,N,v1,,
nai to ikenai,nai to ikenai,1,B,,0,,<-nakereba naranai>,N,v1,,
nai wake ni (wa) ikanai,nai wake ni (wa) ikanai,1,I,,0,,<zaru o enai>,N,v1,,
nai yōni shite kudasai,nai yōni shite kudasai,1,A,29,0,,<bekarazu/bekarazaru>,N,v1,,
nakanaka,nakanaka,1,I,,0,,,N,v1,,
naka o,naka o,1,A,312,0,,,N,v1,,
nakattara,nakattara,1,A,303,0,,<nai koto ni wa>,N,v1,,
nakereba,nakereba,1,A,303,0,,<nai koto ni wa>,N,v1,,
nakereba ikenai,nakereba ikenai,1,A,734,0,,<yori/no hoka (ni) (wa)~nai>,N,v1,,
nakereba naranai,nakereba naranai,6,A|B|I,734,0,,<-neba naranai> ;; <bekida> ;; <wake ni wa ikanai> ;; <yori/no hoka (ni) (wa) nai> ;; <zaru o enai>,N,v1,,
naku,naku,1,I,,0,,,N,v1,,
naku mo nai,naku mo nai,1,A,300,0,,<nai de mo nai>,N,v1,,
naku naru,naku naru,1,B,,0,,,N,v1,,
nakushite (wa),nakushite (wa),1,A,315,0,,,N,v1,,
naku (t) cha,naku (t) cha,1,B,,0,,<-nakereba naranai>,N,v1,,
nakute,nakute,1,B,,0,,,N,v1,,
nakute mo,nakute mo,1,A,755,0,,<zu tomo>,N,v1,,
nakute wa,nakute wa,1,A,303,0,,<nai koto ni wa>,N,v1,,
nakute wa ikenai,nakute wa ikenai,1,B,,0,,<-nakereba naranai>,N,v1,,
nakute wa naranai,nakute wa naranai,1,B,,0,,<-nakereba naranai>,N,v1,,
namaji (kka),namaji (kka),1,A,318,0,,,N,v1,,
nami,nami,1,A,323,0,,,N,v1,,
nan mo,nan mo,1,A,326,0,,[ (Number) + Counter ],N,v1,,
nandemo,nandemo,1,I,,0,,,N,v1,,
nan (i) ka no,nan (i) ka no,1,A,333,0,,<nanraka no>,N,v1,,
nani nai,nani nai,1,A,328,0,,,N,v1,,
nani mo~nai,nani mo~nai,2,A,331|334,0,,<nanra~nai>,N,v1,,
nanishiro,nanishiro,1,I,,0,,,N,v3,,
nanka,nanka,2,A|B,339,0,,<nado> ;; <nante '>,N,v1,,
nan no tteno nan no tte,nan no tteno nan no tte,1,,,0,,,N,,missing_ref,missing_only
nanra- nai,nanra- nai,1,A,333,0,,,N,v1,,
nanraka no,nanraka no,1,A,333,0,,,N,v3,,
nante,nante,1,A,337,1,,""" what """,N,v1,,
"nante things like "" 339 nante mon ja nai 465 nan te/to no/n da (ro)","nante things like "" 339 nante mon ja nai 465 nan te/to no/n da (ro)",1,A,230,0,,""" "" <no nan no tte> <koto ka>",N,v1,merged_suspect;unbalanced,garble
nanto,nanto,1,A,135,0,,<ikani>,N,v1,,
nan to ka,nan to ka,2,A|I,341,0,,<yatto>,N,v1,,
nao,nao,3,A,540|570,0,,<sara ni> ;; <tada>,N,v1|v2,,
naosara,naosara,1,A,348,0,,,N,v3,,
nara,nara,1,B,,0,,,N,v1,,
(no) nara,(no) nara,1,A,615,0,,<to atte wa>,N,v1,,
narabi ni,narabi ni,1,A,353,0,,,N,v1,,
nara de wa (no),nara de wa (no),1,A,350,0,,,N,v1,,
naranai,naranai,1,I,,0,,,N,v1,,
nari,nari,2,A,355|706,0,,<ya ina ya>,N,v1,,
nari~nari,nari~nari,1,I,,0,,,N,v3,,
nari ni,nari ni,1,I,,0,,,N,v1,,
nari ni/no,nari ni/no,1,A,559,0,,<sore nari ni/no>,N,v1,,
naru,naru,1,B,,0,,<o ni naru>,N,v1,,
naruhodo,naruhodo,1,A,359,0,,,N,v1,,
nasai,nasai,2,B|I,,0,,<Imperative>,N,v1,,
nashi de,nashi de,1,A,452,0,,<ni yorazu>,N,v1,,
nashi de (wa),nashi de (wa),1,A,315,0,,<nakushite (wa)>,N,v1,,
nashi de wa,nashi de wa,1,I,,0,,,N,v1,,
nashi ni,nashi ni,1,A,362,0,,,N,v1,,
nashi ni (wa),nashi ni (wa),1,A,315,0,,<nakushite (wa)>,N,v1,,
nashi ni wa,nashi ni wa,1,I,,0,,<nashi de wa>,N,v1,,
nasu,nasu,1,A,365,0,,,N,v1,,
naze ka,naze ka,1,A,370,0,,,N,v1,,
naze ka to iu to,naze ka to iu to,1,A,640,0,,<to iu no wa>,N,v1,,
naze ka to iu to~kara da,naze ka to iu to~kara da,1,A,371,0,,<naze nara (ba) kara da>,N,v1,,
naze nara (ba)~kara da,naze nara (ba)~kara da,1,A,371,0,,,N,v1,,
n bakari (ni),n bakari (ni),1,A,374,0,,,N,v3,,
In da,In da,1,A,374,0,,<no da>,N,v1,,
n desu,n desu,1,B,,0,,<no da>,N,v1,,
ne,ne,2,B|I,,0,,<sa>,N,v1,,
ně,ně,1,A,230,0,,<koto ka>,N,v1,,
neba naranai,neba naranai,2,B|I,,0,,<-nakereba naranai>,N,v1,,
negau/negaimasu,negau/negaimasu,1,A,377,0,,,N,v1,,
ni¹,ni,1,B,,1,ni|ni '|ni²|ni³|ni¹,[ point of time ],N,v1,,collision
ni²,ni,1,B,,1,ni|ni '|ni²|ni³|ni¹,[ indirect object marker ],N,v1,,collision
ni³,ni,1,B,,1,ni|ni '|ni²|ni³|ni¹,[ agent/source marker ],N,v1,,collision
ni,ni,7,B|I,,1,ni|ni '|ni²|ni³|ni¹,"<ni oite/okeru> ;; <ni wa> ;; <ni yotte/yori> ;; <to '> "" and "" ;; [ direct contract ] ;; [ purpose ]",N,v1|v3,,collision
ni ',ni,2,B,,1,ni|ni '|ni²|ni³|ni¹,[ direction ] ;; [ location (existence) ],N,v1,,collision
ni atatte/atari,ni atatte/atari,1,I,,0,,,N,v1,,
ni chigainai,ni chigainai,2,A|B,395,0,,<ni kimatte iru>,N,v1,,
ni hanshite,ni hanshite,1,A,107,0,,<hanmen>,N,v1,,
ni hanshite/hansuru,ni hanshite/hansuru,1,I,,0,,,N,v1,,
ni hikikae,ni hikikae,2,A|I,380,0,,<ni hanshite/hansuru>,N,v1,,
ni hokanaranai,ni hokanaranai,1,I,,0,,,N,v1,,
ni itatte wa,ni itatte wa,1,A,384,0,,,N,v1,,
ni kagirazu,ni kagirazu,2,A|I,461,0,,<nomi narazu>,N,v1,,
ni kagitte,ni kagitte,1,A,386,0,,,N,v1,,
ni kakawarazu,ni kakawarazu,1,A,514,0,,,N,v2,,
ni kakawarazu 514,ni kakawarazu 514,1,A,447,0,,<o towazu>,N,v1,,
ni kakete,ni kakete,1,A,391,0,,<ni watatte/wataru>,N,v1,,
ni ni kankei kakete naku wa,ni ni kankei kakete naku wa,1,A,514,0,,<o towazu>,N,v1,,
ni kanshite,ni kanshite,1,A,486,0,,<o megutte/meguru>,N,v1,,
ni kanshite wa,ni kanshite wa,1,A,391,0,,<ni kakete wa>,N,v1,,
ni kanshite/kansuru,ni kanshite/kansuru,1,I,,0,,,N,v1,,
ni katakunai,ni katakunai,1,A,393,0,,,N,v1,,
ni kawatte,ni kawatte,1,I,,0,,,N,v1,,
ni kimatte iru,ni kimatte iru,1,A,395,0,,,N,v1,,
ni kimeru,ni kimeru,1,B,,0,,<ni suru>,N,v1,,
ni koshita koto wa nai,ni koshita koto wa nai,1,A,398,0,,,N,v1,,
nikui,nikui,3,B,,0,,<-gatai> ;; <-kaneru>,N,v1|v3,,
ni kuraberu to/kurabete,ni kuraberu to/kurabete,2,A,380,0,,<ni hikikae>,N,v1|v3,,
ni mo,ni mo,2,A,235|730,0,,<koto ni> ;; <yo ni mo (~nai)>,N,v1,,
ni mo kakawarazu,ni mo kakawarazu,3,A|I,493,0,,<kuse ni> ;; <o mono to mo sezu>,N,v1,missing_ref,missing_only
(sore) ni mo kakawarazu,(sore) ni mo kakawarazu,2,I,,0,,<shika mo> ;; <sore demo>,N,v1,,
ni (mo) naku,ni (mo) naku,1,A,411,0,,,N,v1,,
ni motozuite/motozuku,ni motozuite/motozuku,1,I,,0,,,N,v1,,
ni mukatte,ni mukatte,1,A,404,0,,<ni mukete/muketa>,N,v1,,
ni mukete/muketa,ni mukete/muketa,1,A,404,0,,,N,v1,,
~ni~nai,~ni~nai,1,A,408,0,,,N,v1,,
ni naru to,ni naru to,1,I,,0,,,N,v3,,
ni oite/okeru,ni oite/okeru,1,I,,0,,,N,v1,,
ni ōjite/ōjita,ni ōjite/ōjita,1,A,412,0,,,N,v1,,
ni saishite,ni saishite,1,I,,0,,<ni atatte/atari>,N,v1,,
ni shiro/seyo,ni shiro/seyo,1,A,418,0,,,N,v1,,
ni shitagatte/shitagai,ni shitagatte/shitagai,2,I,,0,,<to tomo ni>,N,v1,,
ni shita tokoro de,ni shita tokoro de,2,A,423|432,0,,<ni shite kara ga>,N,v1,,
ni shite ',ni shite,1,A,426,0,,[ period of time ],N,v1,,collision
"ni shite both~and "" 429 ni shite kara ga 432 ni shite mo","ni shite both~and "" 429 ni shite kara ga 432 ni shite mo",1,A,435,0,,""" """,N,v1,merged_suspect;unbalanced,garble
ni shite mo,ni shite mo,1,A,418,0,,<ni shiro/seyo>,N,v1,,
ni shite wa,ni shite wa,2,A|B,697,0,,<wari ni (wa)>,N,v1,,
ni suginai,ni suginai,3,A|I,586,0,,<ni hokanaranai> ;; <tan ni>,N,v1,,
ni suru,ni suru,2,B|I,,0,,<to suru '>,N,v1,,
ni taishite,ni taishite,2,A,107|380,0,,<hanmen> ;; <ni hikikae>,N,v1,,
ni taishite/taishi,ni taishite/taishi,2,I,,0,,<ni hanshite/hansuru>,N,v1|v3,,
ni todomarazu,ni todomarazu,1,A,440,0,,,N,v1,,
ni tomonatte,ni tomonatte,1,I,,0,,<to tomo ni>,N,v1,,
ni/to mo nareba,ni/to mo nareba,1,A,401,0,,<ni/to mo naru to>,N,v1,,
ni/to mo naru to,ni/to mo naru to,1,A,401,0,,,N,v1,,
ni/to naru,ni/to naru,1,A,365,0,,<nasu>,N,v1,,
ni totte,ni totte,1,I,,0,,,N,v1,,
ni tsuite,ni tsuite,3,A|I,486,0,,<ni kanshite/kansuru> ;; <o megutte/meguru>,N,v1,missing_ref,missing_only
ni tsuite (wa),ni tsuite (wa),1,A,674,0,,<tsuite wa>,N,v1,,
ni tsuite wa,ni tsuite wa,1,A,391,0,,<ni kakete wa>,N,v1,,
ni tsuke,ni tsuke,1,A,444,0,,,N,v1,,
ni tsuki,ni tsuki,2,I,,0,,<de>,N,v3,,
ni tsurete/tsure,ni tsurete/tsure,3,I,,0,,<ni shitagatte/shitagai> ;; <to tomo ni>,N,v1,,
ni wa,ni wa,2,I,,0,,<ni totte>,N,v1,,
ni wa oyobanai,ni wa oyobanai,1,I,,0,,<made mo nai>,N,v1,,
ni watatte/wataru,ni watatte/wataru,1,A,447,0,,,N,v1,,
ni yorazu,ni yorazu,2,A,452|514,0,,<o towazu>,N,v1,,
ni yoreba,ni yoreba,1,A,459,0,,<ni yoru to>,N,v1,,
ni yoru,ni yoru,1,I,,0,,<shidai>,N,v3,,
ni yoru to,ni yoru to,1,A,459,0,,,N,v1,,
ni yoru/yotte,ni yoru/yotte,1,A,128,0,,<ikan (da)>,N,v1,,
ni yotte,ni yotte,1,A,412,0,,<ni ōjite/ōjita>,N,v1,,
ni yotte/yor,ni yotte/yor,1,I,,0,,,N,v3,,
ni yotte/yori,ni yotte/yori,2,A,452|479,0,,<ni yorazu> ;; <o kaishite/kaishita>,N,v1,,
no ',no,2,B,,1,no|no ',[ nominalizer ] ;; [ possessive marker ],N,v1,,collision
no,no,2,B,,1,no|no ',""" one (pronoun) "" ;; [ sentence - final particle ]",N,v1,,collision
no~nai no tte,no~nai no tte,1,A,465,0,,<no nan no tte>,N,v1,,
no no to,no no to,1,A,470,0,,,N,v1,,
no ba'ai (wa),no ba'ai (wa),1,A,384,0,,<ni itatte wa>,N,v1,,
nochi (ni),nochi (ni),1,A,562,0,,<sue (ni)>,N,v1,,
no da,no da,2,B|I,,0,,<wake da>,N,v1|v3,,
node,node,9,A|B|I,233|371|612|645|745,0,,<(no) kawari ni> ;; <koto de> ;; <koto kara> ;; <naze nara (ba) - kara da> ;; <to atte> ;; <toka de> ;; <tokoro kara> ;; <yue ni>,N,v1,,
(na) node,(na) node,1,A,615,0,,<to atte wa>,N,v1,,
no desu,no desu,1,B,,0,,<no da>,N,v1,,
no hō ga,no hō ga,1,B,,0,,<- hō ga~yori>,N,v1,,
no hoka (ni) (wa)~nai,no hoka (ni) (wa)~nai,1,,,0,,,N,,missing_ref,missing_only
>> yori/no hoka (ni) (wa)~nai,>> yori/no hoka (ni) (wa)~nai,1,A,734,0,,,N,v3,unbalanced,garble
no hoka ni- nai,no hoka ni- nai,1,A,499,0,,<o oite hoka ni (wa)~nai>,N,v1,,
no kankei de,no kankei de,1,I,,0,,,N,v3,,
no koto,no koto,3,I,,0,,<ni kanshite/kansuru> ;; <ni tsuite>,N,v1|v3,,
no koto da kara,no koto da kara,1,I,,0,,,N,v1,,
nomi,nomi,1,I,,0,,,N,v1,,
nomi narazu,nomi narazu,3,A,440|461|694,0,,<ni todomarazu> ;; <wa oroka>,N,v1,,
no moto de,no moto de,1,I,,0,,,N,v1,,
no nan no tte,no nan no tte,1,A,465,0,,,N,v1,,
no nasa,no nasa,1,A,468,0,,,N,v1,,
noni¹,noni,1,B,,2,noni|noni²|noni¹,""" even though """,N,v1,,collision
noni²,noni,1,B,,2,noni|noni²|noni¹,""" in the process of doing """,N,v1,,collision
noni,noni,8,A|I,279,2,noni|noni²|noni¹,<daga> ;; <kuse ni> ;; <mono o> ;; <nagara (mo)> ;; <ni mo kakawarazu> ;; <ni wa> ;; <ni> ;; <to iu noni>,N,v1|v3,missing_ref,collision;missing_only
no tame (ni),no tame (ni),1,I,,0,,<no kankei de>,N,v1,,
no tame ni,no tame ni,2,A|I,404,0,,<ni mukete/muketa> ;; <ni yotte/yori>,N,v1,,
no ten de,no ten de,1,A,190,0,,<kara itte>,N,v1,,
no ue de wa,no ue de wa,1,I,,0,,,N,v1,,
no wa da,no wa da,1,B,,0,,,N,v1,,
no wa~no koto da,no wa~no koto da,1,I,,0,,,N,v1,,
no yōna,no yōna,1,A,622,0,,<to demo iu beki>,N,v1,,
n to suru,n to suru,1,A,474,0,,,N,v1,,
nu,nu,1,I,,0,,,N,v1,,
o ',o,1,B,,0,o '|o²|o³,[ direct object marker ],N,v1,,collision
o²,o,1,B,,0,o '|o²|o³,[ space marker ],N,v1,,collision
o³,o,1,B,,0,o '|o²|o³,[ a point of detachment ],N,v1,,collision
o *,o *,1,B,,0,,[ emotive marker ],N,v1,,
O,O,1,B,,0,,,N,v1,short_term,garble
oda,oda,1,I,,0,,,N,v1,,
o~kudasai,o~kudasai,1,I,,0,,,N,v1,,
oni naru,oni naru,1,B,,0,,,N,v1,,
o~ni naru,o~ni naru,1,I,,0,,<o~da>,N,v1,,
0~suru,0~suru,1,B,,0,,,N,v1,,
o chushin ni,o chushin ni,1,A,477,0,,,N,v1,,
o chushin to/ni shite,o chushin to/ni shite,1,A,477,0,,<o chūshin ni>,N,v1,,
o hajime (to shite),o hajime (to shite),1,I,,0,,,N,v1,,
oi,oi,1,B,,0,,,N,v1,,
oite hoka ni (wa)~nai,oite hoka ni (wa)~nai,1,,,0,,,N,,missing_ref,missing_only
okage,okage,1,I,,0,,<sei>,N,v1,,
o kaishite/kaishita,o kaishite/kaishita,1,A,479,0,,,N,v1,,
oki ni,oki ni,1,B,,0,,<goto ni>,N,v1,,
okinji enai,okinji enai,1,A,483,0,,,N,v1,,
o kinzu (ru),o kinzu (ru),1,A,29,0,,<bekarazu/bekarazaru>,N,v1,,
okonau,okonau,1,A,365,0,,<nasu>,N,v1,,
oku,oku,1,B,,0,,,N,v1,,
omake ni,omake ni,3,I,,0,,<shika mo> ;; <sono ue> ;; <sore ni>,N,v3,,
o megutte/meguru,o megutte/meguru,1,A,486,0,,,N,v1,,
o mezashite,o mezashite,1,A,404,0,,<ni mukete/muketa>,N,v1,,
omoeba,omoeba,1,A,492,0,,,N,v1,,
omoikitte,omoikitte,1,A,3,0,,<aete>,N,v1,,
o mokuhyō ni,o mokuhyō ni,1,A,404,0,,<ni mukete/muketa>,N,v1,,
o mono to mo sezu,o mono to mo sezu,1,A,493,0,,,N,v1,,
o moto ni (shite),o moto ni (shite),1,I,,0,,<ni motozuite/motozuku>,N,v1,,
omou ni,omou ni,1,A,496,0,,,N,v1,,
omowareru,omowareru,1,I,,0,,,N,v1,,
omowazu,omowazu,1,A,668,0,,<tsui>,N,v1,,
ōmune,ōmune,1,A,526,0,,<oyoso>,N,v1,,
ono'ono,ono'ono,1,I,,0,,<sorezore>,N,v3,,
o nozoite,o nozoite,1,A,685,0,,<wa betsu to shite>,N,v1,,
o oite hoka ni (wa) 2 nai,o oite hoka ni (wa) 2 nai,1,A,499,0,,,N,v1,,
ori,ori,1,I,,0,,,N,v1,,
ori (ni),ori (ni),1,A,502,0,,,N,v1,,
ori ni,ori ni,1,I,,0,,<sai (ni)>,N,v3,,
oroka wa oroka,oroka wa oroka,1,,,0,,,N,,missing_ref,missing_only
osore ga aru,osore ga aru,1,A,509,0,,,N,v1,,
ō to omou,ō to omou,1,B,,0,,<-yō to omou>,N,v1,,
o tōshite,o tōshite,2,A|I,479,0,,<o kaishite/kaishita>,N,v1,,
o towazu,o towazu,1,A,514,0,,,N,v1,,
o tsujite,o tsujite,1,I,,0,,<o tōshite>,N,v1,,
o tsukatte,o tsukatte,1,B,,0,,<de>,N,v1,,
o Vmasu kudasai,o Vmasu kudasai,1,A,377,0,,<negau/negaimasu>,N,v1,,
owaru,owaru,1,B,,0,,,N,v1,,
oyobi,oyobi,2,A,353|521,0,,<narabi ni>,N,v1,,
oyoso,oyoso,1,A,526,0,,,N,v1,,
o yoso ni,o yoso ni,1,A,531,0,,,N,v1,,
ōzei,ōzei,1,B,,0,,<ōi>,N,v1,,
ppanashi,ppanashi,1,I,,0,,,P,v3,,
ppoi,ppoi,1,A,337,0,,,P,v2,,
ra,ra,1,B,,0,,<-tachi>,R,v1,,
rai,rai,1,I,,0,,,R,v1,,
rarenai,rarenai,1,I,,0,,<wake ni wa ikanai>,R,v1,,
rareru ',rareru,1,B,,1,rareru|rareru '|rareru²,[ passive ],R,v1,,collision
