term,slug,canonical,reading,meaning,senses,register,keigo,freq,jlpt,family,candidate_prereqs,fold_into_parent,confidence,review_reason,src_risk,src_volumes,src_glosses
de shikata ga nai,de-shikata-ga-nai,〜でしかたがない,でしかたがない,voiced allomorph of 〜てしかたがない (can't help feeling ~ / unbearably ~),,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,te-form,te-shikata-ga-nai,med,voiced て-allomorph of てしかたがない (feeling); distinct from temo-shikata-ga-nai 'no use ~ing',,B,<tamaranai>
de shimau,de-shimau,〜でしまう,でしまう,voiced allomorph of 〜てしまう (do completely / end up ~ing): 読んでしまう,,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,te-form,te-shimau,med,voiced て-allomorph of てしまう; fold into te-shimau (chau/chimau are its contractions),,B,<shimau>
de tamaranai,de-tamaranai,〜でたまらない,でたまらない,voiced allomorph of 〜てたまらない (unbearably ~ / can't stand how ~),,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,te-form,te-tamaranai,med,voiced て-allomorph of てたまらない; fold into te-tamaranai,,B,<tamaranai>
de wa,de-wa,では,では,では: contrastive topic 'as for / when it comes to ~'; also 'well then' (transition),,casual-spoken|polite-spoken|written-modern,none,common,N3,particle,,,med,では: contrastive topic 'as for' + discourse-initial 'well then' senses,,A,<ni kakete wa>
de wa ikenai,de-wa-ikenai,〜ではいけない,ではいけない,must not ~ / it's not allowed to ~ (voiced では allomorph of てはいけない),,casual-spoken|polite-spoken|written-modern,none,essential,N5,modality,te-form,te-wa-ikenai,med,voiced allomorph of てはいけない prohibition; fold into te-wa-ikenai,,B,<wa ikenai>
de wa naranai,de-wa-naranai,〜ではならない,ではならない,must not ~ (formal prohibition; voiced では allomorph of てはならない),,polite-spoken|written-modern,none,common,N3,modality,te-form,te-wa-naranai,med,voiced allomorph of てはならない; fold into te-wa-naranai,,B,<wa ikenai>
de yaru,de-yaru,〜でやる,でやる,"voiced allomorph of 〜てやる (do ~ for an inferior/animal, or defiantly): 読んでやる",,casual-spoken,none,common,N4,auxiliary,te-form,te-yaru,med,voiced て-allomorph of てやる; fold into te-yaru,,B,<ageru>
deshō,deshou,でしょう,でしょう,polite conjecture 'probably ~' / seeks agreement '~right?' (= polite だろう),,polite-spoken,teineigo,essential,N5,modality,darou,,high,,,B|I,<-yō²> ;; <darō>
desu,desu,です,です,polite copula 'is / are' (です・ます style),,polite-spoken,teineigo,essential,N5,copula,,,high,,,B,<wa~da>
dochira ka to ieba,dochira-ka-to-ieba,どちらかと言えば,どちらかといえば,if anything / if I had to choose / relatively speaking,,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,ba-conditional,,high,,,A,<dochira ka to iu to>
dochira ka to iu to,dochira-ka-to-iu-to,どちらかと言うと,どちらかというと,if anything / rather / if you ask which (near-variant of どちらかと言えば),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,dochira-ka-to-ieba,,med,near-synonym variant of dochira-ka-to-ieba; possible merge in reconciliation,,A,
doko made mo,doko-made-mo,どこまでも,どこまでも,thoroughly / to the very end / persistently,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,med,see-also あくまでも; emphatic 'all the way' adverbial,,A,<akumade mo>
dokoro de wa nai,dokoro-de-wa-nai,〜どころではない,どころではない,this is no time for ~ / far from ~ing (emphatic denial of appropriateness),,casual-spoken|polite-spoken|written-modern,none,common,N2,modality,,,high,,,A,
dokoro no hanashi de wa nai,dokoro-no-hanashi-de-wa-nai,〜どころの話ではない,どころのはなしではない,it's not a matter of ~ / far from it (stronger variant of どころではない),,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,modality,dokoro-de-wa-nai,,med,emphatic variant of どころではない,,A,<dokoro de wa nai>
dokoroka,dokoroka,〜どころか,どころか,far from ~ / on the contrary / not only ~ (but),,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,high,,missing_only,A|I,<dokoro de wa nai> ;; <mashite (ya)> ;; <sore dokoroka> ;; <~bakari ka 2 (sae)>
domo,domo,〜ども,ども,"humble/derogatory pluralizing suffix for people (私ども, 野郎ども)",,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,other,,,med,see-also -tachi pins pluralizer ども; classical concessive ども 'even though' is a separate sense not taken here,,A|B,<-tachi>
donna,donna,どんな,どんな,what kind of ~ (interrogative pre-noun adjectival),,casual-spoken|polite-spoken|written-modern,none,common,N5,other,,,high,,,A,<ikanaru>
donnani,donnani,どんなに,どんなに,(no matter) how much / however ~ (typically どんなに〜ても),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,te-mo,,high,,,A,<ikani> ;; <ikura>
donnani~(koto) ka,donnani-koto-ka,どんなに〜(こと)か,どんなにことか,how very ~! (exclamatory expression of strong degree),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,modality,donnani,,med,exclamatory 〜ことか pattern; reading of こと part reconstructed,,I,
dono yōna,dono-youna,どのような,どのような,what kind of ~ (polite/formal equivalent of どんな),,polite-spoken|written-modern,none,common,N4,other,donna,,high,,,A,<ikanaru>
dorehodo (koto) ka,dorehodo-koto-ka,どれほど〜(こと)か,どれほどことか,"how much ~! (exclamatory degree, variant of どんなにことか)",,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,modality,donnani-koto-ka,,med,variant of どんなに〜ことか exclamatory,,I,<donnani~(koto) ka>
dō,dou,どう,どう,how / in what way (interrogative adverb),,casual-spoken|polite-spoken|written-modern,none,common,N5,adverbial,,,med,borderline lexical interrogative adverb; kept per CALIBRATION §2,,B,
dō iu wake (da) ka,dou-iu-wake-da-ka,どういうわけ(だ)か,どういうわけだか,for some reason / somehow (= なぜか),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,med,see-also なぜか; idiomatic 'for some reason',,A,<naze ka>
dō ka,dou-ka,どうか,どうか,"please (earnest request) / somehow, one way or another","[{""label"":""request"",""canonical"":""どうか"",""meaning"":""please (earnest, formal request)""},{""label"":""manner"",""canonical"":""どうか"",""meaning"":""somehow / one way or another""}]",casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,med,two senses (earnest request 'please' vs 'somehow'); both kept in senses[],,A,
dō ka suru to,dou-ka-suru-to,どうかすると,どうかすると,sometimes / apt to / if things go a certain way,,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,adverbial,,,med,see-also ともすると; 'tends to / sometimes',,A,<to mo suru to>
dō ni ka,dou-ni-ka,どうにか,どうにか,somehow / manage to (barely accomplish),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,A,<nan to ka>
dō ni mo kō ni mo~nai,dou-ni-mo-kou-ni-mo-nai,どうにもこうにも〜ない,どうにもこうにもない,can't do anything at all / there's absolutely no way (emphatic),,casual-spoken|polite-spoken|written-modern,none,rare,N1,adverbial,dou-ni-mo-nai,,med,emphatic doubled variant of どうにも〜ない,,A,<dō ni mo~nai>
dō ni mo~nai,dou-ni-mo-nai,どうにも〜ない,どうにもない,can't possibly ~ / there's no way to ~,,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,adverbial,,,med,'no way to' + negative; reconstructed from bare romaji,,A,
dōse,douse,どうせ,どうせ,"anyway / after all / in any case (resigned, often pessimistic)",,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,I,
dōshi,doushi,〜同士,どうし,among / between fellow ~ / each other (友達同士),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,other,,,med,chose suffix 同士 'fellow/each-other'; 動詞 'verb' metalabel rejected as non-pattern,,A,
dōshite (da) ka,doushite-da-ka,どうして(だ)か,どうしてだか,for some reason / somehow (= なぜか),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,med,see-also なぜか; 'for some reason',,A,<naze ka>
dōzo,douzo,どうぞ,どうぞ,please / go ahead / by all means (offering or granting),,casual-spoken|polite-spoken|written-modern,none,common,N5,interjection,,,high,,,A,<dō ka>
eru,eru,〜得る,える,"can / be able to / it is possible to ~ (potential auxiliary, also うる)",,polite-spoken|written-modern,none,common,N2,modality,masu-stem,,high,"see-also rareru² (potential); 〜得る potential, read える or うる",,B,<rareru²>
fu no,fu-no,〜風の,ふうの,~-style / ~-like / in the manner of ~ (adnominal),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,other,,,low,romaji 'fu no' read as 風の (cf -ppoi see-also); macron may be dropped — verify fu vs fū,,I,<-ppoi>
futsu no,futsu-no,普通の,ふつうの,ordinary / usual / plain ~ (adnominal),,casual-spoken|polite-spoken|written-modern,none,uncommon,N3,other,,,low,borderline lexical (普通 'ordinary'); see-also ただの 'mere'; kept per CALIBRATION §2,,I,<tada no>
fū ni,fuu-ni,〜風に,ふうに,in the manner of / like ~ (こんな風に 'in this way'),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,I,
ga hayai ka,ga-hayai-ka,〜が早いか,〜がはやいか,"as soon as / no sooner than ~ (the moment one does X, Y happens)",,polite-spoken|written-modern,none,uncommon,N1,connective,,,high,,,A,<ya ina ya>
gachi,gachi,〜がち,がち,tend to ~ / be prone to ~ (usually undesirable: 忘れがち),,casual-spoken|polite-spoken|written-modern,none,uncommon,N3,adverbial,masu-stem,,high,,,A|I,<kirai ga aru>
garu,garu,〜がる,がる,"show signs of / outwardly display a feeling (3rd person: 寒がる, 欲しがる)",,casual-spoken|polite-spoken|written-modern,none,common,N4,auxiliary,,,high,,,B,
gata,gata,〜方,がた,"polite pluralizing suffix for people (あなた方, 先生方)",,polite-spoken|written-modern,sonkeigo,common,N4,other,,,med,see-also -tachi; 方 polite plural suffix,,B,<-tachi>
gatai,gatai,〜難い,がたい,hard to ~ / difficult to bring oneself to ~ (理解しがたい),,polite-spoken|written-modern,none,common,N3,modality,masu-stem,,high,see-also -kaneru; 〜難い difficulty suffix,,I,<-kaneru>
gimi,gimi,〜気味,ぎみ,"-ish / a touch of / showing signs of ~ (風邪気味, 疲れ気味)",,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,masu-stem,,high,see-also -gachi; 〜気味 'a touch of',,I,<-gachi>
goro,goro,〜頃,ごろ,around / about (a point in time: 3時頃),,casual-spoken|polite-spoken|written-modern,none,essential,N4,other,,,high,contrast くらい (approximate quantity) vs ごろ (approximate point in time),,B,
goto ni,goto-ni,〜ごとに,ごとに,each / every ~ (一日ごとに 'every single day'),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,see-also 単位で; 毎 distributive 'each',,A|B,<tan'i de>
gotoshi,gotoshi,〜如し,ごとし,"like / as if ~ (classical simile: 〜の如し, attributive 如き/如く)",,literary|archaic,none,rare,N1,modality,,,high,classical/literary simile auxiliary 如し,,A,
gurai,gurai,〜ぐらい,ぐらい,about / approximately / to the extent of ~ (voiced variant of くらい),,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,kurai,high,voiced variant of くらい; fold into kurai,,B,<kurai>
gyaku ni,gyaku-ni,逆に,ぎゃくに,conversely / on the contrary / the other way around,,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,high,,,I,
hajimeru,hajimeru,〜始める,はじめる,begin to ~ / start ~ing (compound-verb aspect: 降り始める),,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,masu-stem,,high,,,B,
hanmen,hanmen,〜反面,はんめん,on the other hand / while ~ (presenting a contrasting side: 〜反面),,polite-spoken|written-modern,none,common,N2,connective,,,high,see-also 一方(で),,A,<ippō (de)>
hatashite,hatashite,果たして,はたして,"sure enough / as expected; (with question) really, indeed ~?",,polite-spoken|written-modern,none,uncommon,N2,adverbial,,,high,,,A,
hazu,hazu,〜はず,はず,"should / be supposed to / be expected to ~ (はずだ, reasoned expectation)",,casual-spoken|polite-spoken|written-modern,none,essential,N4,modality,,,high,see-also べきだ; はず = expectation (vs べき obligation),,B,<bekida>
hazu wa nai,hazu-wa-nai,〜はずはない,はずはない,cannot be / surely not ~ (contrastive-topic variant of はずがない),,casual-spoken|polite-spoken|written-modern,none,uncommon,N3,modality,hazu,hazu-ga-nai,med,は-marked variant of はずがない; fold into hazu-ga-nai,,I,<koto wa nai>
hetani,hetani,下手に,へたに,carelessly / ill-advisedly / clumsily (下手に〜と often warns of bad outcome),,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,adverbial,,,med,see-also なまじ(っか); 'rashly/ill-advisedly',,A,<namaji (kka)>
hiite wa,hiite-wa,延いては,ひいては,and by extension / consequently / ultimately,,written-modern|literary,none,rare,N1,connective,,,med,bare romaji; read as 延いては 'by extension' (formal connective),,A,
hijōni,hijouni,非常に,ひじょうに,extremely / very (high-degree adverb),,casual-spoken|polite-spoken|written-modern,none,common,N4,adverbial,,,med,borderline lexical degree adverb; kept per CALIBRATION §2,,A|I,<kono ue nai> ;; <nakanaka>
hito/ichi 2 nai,hitoichi-nai,一〜ない,ひとつ〜ない,not even one ~ (一+counter emphatic total negation),,polite-spoken|written-modern,none,uncommon,N1,other,counter,ichi-to-shite-nai,low,OCR '2' artifact; reconstructed 一(counter)〜ない total-negation; same family as 一〜として(も)ない,,A,[ Wh - word ] [ Counter ] <hito/ichi [ Counter ] to shite nai>
hitotsu,hitotsu,一つ,ひとつ,(adverbial) for one thing; (softener in requests) just / kindly (ひとつよろしく),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,low,bare romaji; adverbial/softener 一つ chosen over lexical numeral 'one',,A,
hitotsu ni wa,hitotsu-ni-wa,一つには,ひとつには,for one thing / one reason being ~ (listing reasons),,polite-spoken|written-modern,none,uncommon,N1,connective,hitotsu,,med,reason-listing 一つには,,A,
hitsuyo wa nai,hitsuyo-wa-nai,〜必要はない,ひつようはない,there is no need to ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,,,high,see-also までもない,,I,<made mo nai>
"hodo B ,",hodo,〜ほど,ほど,extent / degree; approximately; the more ~ the more (〜ば〜ほど),,casual-spoken|polite-spoken|written-modern,none,essential,N3,particle,,,low,"OCR garble 'B ,' stripped → base ほど; possible cross-row dup with other hodo patterns — check in reconciliation",,I,
hodo hodo no mo nai,hodo-no-koto-wa-nai,〜ほどのことはない,ほどのことはない,it's not so much as to ~ / not worth ~ing,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,modality,hodo,,low,OCR garble; reconstructed 〜ほどのことはない from see-also くらいこと/までもない,,I,<kurai koto> <made mo nai>
hoka,hoka,〜ほか,ほか,other than / besides ~ (〜のほか); also 〜よりほかない 'no choice but',,casual-spoken|polite-spoken|written-modern,none,common,N3,particle,,,med,see-also 以外 pins 'besides/other than'; ほかない 'no choice but' is a related sense,,I,<igai>
hontō ni,hontou-ni,本当に,ほんとうに,really / truly (intensifier adverb),,casual-spoken|polite-spoken|written-modern,none,common,N4,adverbial,,,med,borderline lexical degree adverb; kept per CALIBRATION §2,,A|I,<(to i) ttara nai> ;; <ikanimo>
hoshii want s t,hoshii,ほしい,ほしい,"want (something) (〜がほしい); with て-form, want someone to do (〜てほしい)","[{""label"":""object desire"",""canonical"":""〜がほしい"",""meaning"":""want (a thing)""},{""label"":""action desire"",""canonical"":""〜てほしい"",""meaning"":""want someone (else) to do ~""}]",casual-spoken|polite-spoken|written-modern,none,essential,N5,modality,te-form,,med,OCR 'want s t' = gloss residue; covers がほしい + てほしい; てほしい may warrant its own node,,B,""" "" "" .. .B hoshii "" "" want s.o. to do s.t. """
hotondo nai,hotondo-nai,ほとんど〜ない,ほとんどない,hardly / almost never ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,see-also めったに〜ない,,A,<metta ni~nai>
höhō,houhou,方法,ほうほう,method / way of doing ~ (cf the grammatical 〜方 'way of'),,casual-spoken|polite-spoken|written-modern,none,uncommon,N4,other,,kata,low,OCR 'höhō' = 方法 (lexical noun); see-also 〜方 (-kata); fold into kata per CALIBRATION §2,,B,<-kata>
hō ga ii,hou-ga-ii,〜方がいい,ほうがいい,had better ~ / it's better to ~ (advice; often past form 〜た方がいい),,casual-spoken|polite-spoken|written-modern,none,essential,N4,modality,ta-form,,high,see-also べきだ; 方がいい = advice,,B|I,<bekida>
hō ga yor,hou-ga,〜方が,ほうが,the ~ side / the ~ one (comparison: AよりBの方が〜 'B is more ~ than A'),,casual-spoken|polite-spoken|written-modern,none,common,N4,particle,yori,,low,OCR 'yor' truncated (より); 〜ほうが comparative marker,,B,
ichi to shite 2 nai,ichi-to-shite-nai,一〜として〜ない,いち〜としてない,"not a single ~ (一として〜ない, OCR variant of the 一〜 total-negation family)",,polite-spoken|written-modern,none,uncommon,N1,other,counter,,low,OCR '2' artifact; duplicate of hitoichi-to-shite-nai — fold/merge,missing_only,,[ Counter ]
ichiban,ichiban,一番,いちばん,most / the most ~ (superlative marker: 一番高い),,casual-spoken|polite-spoken|written-modern,none,essential,N5,adverbial,,,med,superlative marker; borderline lexical; see-also をおいて他に(は)ない,,A|B,<o oite hoka ni (wa)~nai>
ichido,ichido,一度,いちど,once; (一度〜たら/と) once you ~ (then...),,casual-spoken|polite-spoken|written-modern,none,common,N4,adverbial,,,med,"see-also 一旦; borderline lexical, grammaticalized in 一度〜たら",,A,<ittan>
ichiō,ichiou,一応,いちおう,for the time being / more or less / just in case,,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,A,
igai ni nai,igai-ni-nai,〜以外にない,いがいにない,there is nothing but ~ / no choice but ~,,polite-spoken|written-modern,none,uncommon,N2,modality,,,med,see-also をおいて他に(は)ない,,A,<o oite hoka ni (wa) - nai>
igai to,igai-to,意外と,いがいと,unexpectedly / surprisingly (more than expected),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,see-also 結構 pins 意外 'surprisingly' (not 以外 'except'),,I,<kekko>
igai wa,igai-wa,〜以外は,いがいは,other than ~ / except ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,particle,,,high,see-also は別として,,A,<wa betsu to shite>
igo,igo,以後,いご,after / from then on / hereafter,,polite-spoken|written-modern,none,common,N3,other,,,med,"see-also 以来; temporal noun, borderline lexical",,A,<irai>
ii,ii,いい,いい,"good / preferable; forms advice & wish patterns (〜といい, 〜ほうがいい)",,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,,,low,bare romaji; see-also ましだ 'preferable'; ambiguous which いい pattern — best-guess preference/advice,,I,<mashida>
ijō (wa),ijou-wa,〜以上(は),いじょうは,"now that / since / as long as ~ (given that X, naturally Y)",,polite-spoken|written-modern,none,common,N2,connective,,,high,see-also からには,,A,<kara ni wa>
ikaga,ikaga,いかが,いかが,how / how about ~? (polite equivalent of どう),,polite-spoken|written-modern,teineigo,common,N4,adverbial,,,high,see-also どう,,B,<dō>
ikan (da),ikan,〜如何(だ),いかん,"how / the state of ~; depending on ~ (formal 如何, often いかんで(は))",,written-modern|literary,none,uncommon,N1,other,,,med,如何 'how/depending on' chosen; separate いかん 'must not' sense not taken,,A,
ikan de,ikan-de,〜いかんで,いかんで,depending on ~ (〜いかんで(は) 'according to the state of ~'),,written-modern|literary,none,uncommon,N1,connective,ikan,,high,see-also に応じて,,A,<ni ōjite/ōjita>
ikanaru,ikanaru,いかなる,いかなる,any / whatever / what kind of ~ (formal/written どんな),,written-modern|literary,none,uncommon,N1,other,,,high,,,A,
ikani,ikani,いかに,いかに,how / however ~ (formal/written どう・どんなに),,written-modern|literary,none,uncommon,N1,adverbial,,,high,,,A,
ikani (koto) ka,ikani-koto-ka,いかに〜(こと)か,いかにことか,how very ~! (formal/literary exclamatory degree),,literary|written-modern,none,rare,N1,modality,ikani,,med,literary exclamatory variant of どんなに〜ことか,missing_only,,<donnani~(koto) ... ka 135>
ikanimo,ikanimo,いかにも,いかにも,indeed / truly / certainly; just like (いかにも〜らしい/そうだ),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,high,see-also 見るからに / さも,,A|I,<miru kara ni> ;; <samo>
ikura,ikura,いくら,いくら,(いくら〜ても) no matter how much ~ (also interrogative 'how much'),,casual-spoken|polite-spoken|written-modern,none,common,N4,adverbial,te-mo,,med,grammatical sense いくら〜ても kept; lexical 'how much' is the lookup sense,,B,
ikō,ikou,以降,いこう,after / from ~ onward (temporal),,polite-spoken|written-modern,none,common,N3,other,,,med,"see-also 以来; temporal noun, borderline lexical",,A,<irai>
imasara,imasara,今更,いまさら,now (of all times) / at this late stage (今更〜ても無駄),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,high,,,A,
ippanni,ippanni,一般に,いっぱんに,generally / in general,,polite-spoken|written-modern,none,common,N3,adverbial,,,high,see-also およそ,,A,<oyoso>
ippo (da),ippou-da,〜一方だ,いっぽうだ,keeps getting more and more ~ / only increases (one-way trend),,polite-spoken|written-modern,none,common,N3,aspect,,,med,"macron dropped (ippo=ippō); 〜一方だ continuous-trend, distinct from 一方で",,A,
ippō (de),ippou-de,〜一方(で),いっぽうで,on one hand / while / meanwhile (contrast or simultaneity),,polite-spoken|written-modern,none,common,N2,connective,,,high,,,A,
ippō de (wa)~tahō de (wa)~,ippou-de-wa-tahou-de-wa,一方では〜他方では〜,いっぽうでは〜たほうでは〜,"on one hand ~, on the other hand ~ (correlative contrast)",,polite-spoken|written-modern,none,uncommon,N2,connective,ippou-de,,med,correlative form of 一方で,,I,
irai,irai,〜以来,いらい,since / ever since ~ (〜て以来),,polite-spoken|written-modern,none,common,N3,particle,,,high,,,A|I,<-rai>
issai nai,issai-nai,一切〜ない,いっさいない,not at all / not in the least ~ (total negation),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,A,
issō,issou,一層,いっそう,even more / all the more ~,,polite-spoken|written-modern,none,common,N2,adverbial,,,high,see-also なお/なおさら/さらに,,A,<nao> ;; <naosara> ;; <sara ni>
itadaku,itadaku,いただく,いただく,receive (humble); 〜ていただく = have someone do ~ for me (humble benefactive),,polite-spoken|written-modern,kenjougo,essential,N4,auxiliary,te-form|morau,,high,see-also もらう; humble counterpart,,B,<morau '>
ite,ite,〜ていて,ていて,て-form of いる joining clauses ('is ~ing and...'; written 〜ており),,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,te-iru,te-iru,low,see-also おり; reconstructed as continuative of ている — verify vs literary おる,,I,<ori>
itsu (de) mo,itsu-de-mo,いつ(で)も,いつでも,always / any time / whenever,,casual-spoken|polite-spoken|written-modern,none,common,N4,adverbial,,,high,see-also たびに,,I,<tabi ni>
itsumo wa~nai,itsumo-wa-nai,いつもは〜ない,いつもはない,not always / not usually ~ (partial negation),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,med,see-also 必ずしも; partial negation,,I,<kanarazushimo>
ittan,ittan,一旦,いったん,once / temporarily; once (一旦〜たら/と 'once you do ~'),,polite-spoken|written-modern,none,uncommon,N2,adverbial,,,high,,,A,
itte mireba,itte-mireba,言ってみれば,いってみれば,so to speak / as it were,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,connective,,,high,,,A,
iwaba,iwaba,言わば,いわば,so to speak / as it were / one might say,,polite-spoken|written-modern,none,uncommon,N2,adverbial,,,high,see-also 言ってみれば,,A,<itte mireba>
iwan'ya,iwanya,況や,いわんや,let alone / much less / to say nothing of ~ (literary),,literary|archaic,none,rare,N1,connective,,,med,see-also まして(や); literary,,A,<mashite (ya)>
iwayuru,iwayuru,いわゆる,いわゆる,so-called / what is known as ~,,casual-spoken|polite-spoken|written-modern,none,common,N2,other,,,high,pre-noun adjectival (連体詞),,A,
izen (to shite),izen-to-shite,依然(として),いぜんとして,still / as ever / as before (unchanged),,polite-spoken|written-modern,none,uncommon,N2,adverbial,,,high,see-also なお,,A,<nao>
jau,jau,〜じゃう,じゃう,casual contraction of 〜でしまう (completion / regret): 読んじゃう,,casual-spoken,none,common,N4,aspect,shimau|te-form,shimau,high,voiced contraction じゃう ← でしまう,,B,<shimau>
jimau,jimau,〜じまう,じまう,rough/colloquial variant of 〜でしまう: 飲んじまう,,casual-spoken,none,uncommon,N3,aspect,shimau|te-form,shimau,med,rough colloquial variant of でしまう,,B,<shimau>
jishin,jishin,〜自身,じしん,"oneself / itself (reflexive emphasis: 私自身, それ自身)",,casual-spoken|polite-spoken|written-modern,none,common,N3,other,,,med,see-also 自体/そのもの; reflexive-emphatic suffix,,A,<-jitai> ;; <sono mono>
jitai,jitai,〜自体,じたい,itself / in itself (それ自体 'the thing itself'),,casual-spoken|polite-spoken|written-modern,none,common,N2,other,,,med,see-also そのもの,,A,<sono mono>
jitsuni,jitsuni,実に,じつに,truly / really / indeed (intensifier),,polite-spoken|written-modern,none,common,N2,adverbial,,,high,see-also この上ない,,A,<kono ue nai>
ju made mo nai,ju-made-mo-nai,言うまでもない,いうまでもない,needless to say / it goes without saying,,polite-spoken|written-modern,none,common,N2,connective,,,med,OCR 'ju' = iu (言う); 言うまでもない,,A,
jō,jou,〜上,じょう,"from the standpoint of / in terms of ~ (法律上, 仕事上)",,polite-spoken|written-modern,none,common,N2,other,,,med,bare romaji; 〜上 'in terms of' suffix,,I,
jō wa,jou-wa,〜上は,じょうは,in terms of / as far as ~ goes (〜上は / 上では),,polite-spoken|written-modern,none,uncommon,N2,connective,jou,,low,see-also の上では; ambiguous between 'in terms of' and formal 'now that ~' — chose former,,I,<no ue de wa>
ka (dō ka),ka-dou-ka,〜かどうか,かどうか,whether (or not) ~ (embedded question),,casual-spoken|polite-spoken|written-modern,none,essential,N4,particle,,,high,,,B,
ka de,ka-de,〜下で,かで,under (the conditions / auspices of) ~ (状況下で),,written-modern,none,uncommon,N1,particle,,,low,see-also の下で; read 〜下で 'under (conditions)' — reading か uncertain,,I,<no moto de>
ka ina ka,ka-ina-ka,〜か否か,かいなか,whether or not ~ (formal/written),,written-modern|literary,none,uncommon,N1,particle,ka-dou-ka,,high,formal equivalent of かどうか,,A,
ka ne,ka-ne,〜かね,かね,sentence-final 'I wonder / right?' (masculine/older か+ね),,casual-spoken,none,uncommon,N3,particle,,,med,see-also ね; final-particle compound,,B,<ne>
ka no gotoku,ka-no-gotoku,〜かのごとく,かのごとく,as if / as though ~ (literary),,literary|written-modern,none,rare,N1,modality,gotoshi|ka-no-youni,,high,literary equivalent of かのように,,A,<ka no yōni>
ka no yōni,ka-no-youni,〜かのように,かのように,as if / as though ~ (simile),,casual-spoken|polite-spoken|written-modern,none,common,N2,modality,*youni,,high,see-also ごとし,,A,<gotoshi>
ka to itte,ka-to-itte,かといって,かといって,that said / but then again / even so (concessive),,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,med,see-also といって; related to からといって,,A,<to itte>
ka to iu to,ka-to-iu-to,〜かというと,かというと,as for whether ~ / when it comes to ~ (often …ない),,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,high,,,I,
ka to omoeba,ka-to-omoeba,〜かと思えば,かとおもえば,just when one thought ~ / no sooner... than (variant of かと思うと),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,connective,ka-to-omou-to,,high,see-also かと思うと,,A,<ka to omou to>
ka to omottara,ka-to-omottara,〜かと思ったら,かとおもったら,just when one thought ~ / no sooner... than (variant of かと思うと),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,connective,ka-to-omou-to,ka-to-omou-to,high,see-also かと思うと; たら-variant,,A,<ka to omou to>
ka to omou to,ka-to-omou-to,〜かと思うと,かとおもうと,just when ~ / no sooner... than; at the thought that ~,,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,high,head of かと思えば/かと思ったら variants,,A,
kaette,kaette,かえって,かえって,on the contrary / rather / instead (contrary to expectation),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,see-also 逆に / むしろ,,A|I,<gyaku ni> ;; <mushiro>
